word,pronunciation,meaning,level,type,example
ecosystem,/ˈiːkəʊˌsɪstəm/,hệ sinh thái,B2,noun,The rainforest is a complex ecosystem.
sustainability,/səˌsteɪnəˈbɪləti/,sự bền vững,C1,noun,Environmental sustainability is crucial.
pollute,/pəˈluːt/,gây ô nhiễm,B1,verb,Factories pollute the air.
renewable,/rɪˈnjuːəbl/,có thể tái tạo,B2,adjective,Solar power is a renewable energy source.
conservation,/ˌkɒnsəˈveɪʃn/,sự bảo tồn,B2,noun,Wildlife conservation is important.
biodiversity,/ˌbaɪəʊdaɪˈvɜːsəti/,đa dạng sinh học,C1,noun,The island has high biodiversity.
climate change,/ˈklaɪmət tʃeɪndʒ/,biến đổi khí hậu,B1,noun,We must fight climate change.
emission,/ɪˈmɪʃn/,khí thải,C1,noun,Carbon emissions are rising.
global warming,/ˌɡləʊbl ˈwɔːmɪŋ/,sự nóng lên toàn cầu,B1,noun,Global warming affects us all.
habitat,/ˈhæbɪtæt/,môi trường sống,B2,noun,The panda's natural habitat is bamboo forests.